name,poi_id,osm_way_id,waterway,barrier,area,centroid,geometry
,20,68703232,water,,4.119298000017715e-08,POINT (-110.9771971 33.7350072),"POLYGON ((-110.9772796 33.7351243, -110.977204 33.7350972, -110.9771069 33.7350701, -110.9770745 33.735043, -110.9770745 33.7349799, -110.9771069 33.7349168, -110.9771717 33.7348807, -110.9772041 33.7348717, -110.9772581 33.7349439, -110.9772904 33.734989, -110.977312 33.7350431, -110.9773336 33.7351243, -110.9772796 33.7351243))"
,21,68703744,water,,3.734462999929752e-08,POINT (-111.1286406 33.5993501),"POLYGON ((-111.1286565 33.5994719, -111.128608 33.5994543, -111.1285526 33.599427, -111.1285495 33.5993597, -111.1285643 33.5992117, -111.1287226 33.5992764, -111.1287488 33.5994223, -111.1286565 33.5994719))"
,22,68703762,water,,1.2909900500206904e-07,POINT (-111.0367678 33.7373165),"POLYGON ((-111.0369699 33.7372116, -111.0369239 33.737305, -111.0369172 33.7374041, -111.0368909 33.737492, -111.0368383 33.7375304, -111.0367724 33.7375305, -111.0367395 33.7375195, -111.036667 33.737492, -111.0365881 33.7374644, -111.0365683 33.737404, -111.0365552 33.737338, -111.0365881 33.73725, -111.0366539 33.7371676, -111.036766 33.7371236, -111.036891 33.7371072, -111.0369699 33.7371401, -111.0369699 33.7372116))"
 Spring Creek Flat Tank,23,68703771,water,,8.299021500004916e-08,POINT (-110.970128 33.6728957),"POLYGON ((-110.9702057 33.6730404, -110.970198 33.6730416, -110.9701548 33.6730506, -110.9700686 33.6730145, -110.9700038 33.6729965, -110.9699715 33.6729424, -110.9699607 33.6728792, -110.9699715 33.6728071, -110.9699716 33.672762, -110.9700255 33.6727259, -110.970101 33.672744, -110.9701657 33.672771, -110.9702628 33.6728342, -110.9703059 33.6728703, -110.9703059 33.6729154, -110.9703167 33.6729605, -110.9702843 33.6730146, -110.9702519 33.6730326, -110.9702057 33.6730404))"
,24,68703882,water,,4.860626500017178e-08,POINT (-111.0049279 33.7715388),"POLYGON ((-111.0050487 33.7714449, -111.0050486 33.7715714, -111.0049498 33.7716978, -111.0048182 33.7715823, -111.0047853 33.7715108, -111.0048183 33.7714448, -111.004917 33.7714283, -111.0050487 33.7714449))"
,25,68703978,water,,3.593400399966442e-07,POINT (-110.9645934 33.6439628),"POLYGON ((-110.9643629 33.644818, -110.964363 33.6447187, -110.9643954 33.6444301, -110.9644171 33.6442498, -110.9644819 33.6440243, -110.9645251 33.643871, -110.9645575 33.6437447, -110.9645575 33.6436365, -110.9645576 33.6435282, -110.9645576 33.6433839, -110.9646009 33.6431585, -110.9646764 33.6430232, -110.9647027 33.6429781, -110.9647031 33.6429781, -110.9647303 33.6429781, -110.9647627 33.6430232, -110.9647734 33.6430863, -110.9647626 33.6431946, -110.9647302 33.6433569, -110.9647193 33.6435553, -110.9647193 33.6436906, -110.96473 33.643862, -110.9647299 33.6440153, -110.9647407 33.6441146, -110.9647406 33.6441777, -110.9647298 33.6442589, -110.9646974 33.6443761, -110.9646435 33.6444753, -110.9646003 33.6445655, -110.964514 33.6446827, -110.9644169 33.6447729, -110.9643629 33.644818))"
 Dust Bowl Tank,26,68704044,water,,2.6718509999509517e-08,POINT (-111.0273341 33.7866704),"POLYGON ((-111.0274537 33.7867219, -111.0273549 33.7867493, -111.0272693 33.7867219, -111.0272232 33.7866834, -111.0272167 33.7866779, -111.0272233 33.7866173, -111.0272299 33.7866118, -111.0273352 33.7865899, -111.0274273 33.7866394, -111.0274537 33.7866889, -111.0274537 33.7867219))"
 Honey Butte Tank,27,68704062,water,,9.055714000030403e-08,POINT (-111.0961974 33.6390876),"POLYGON ((-111.0962863 33.6392738, -111.096214 33.6392189, -111.0961483 33.6391859, -111.0960825 33.6391639, -111.0960102 33.6391309, -111.0959772 33.639076, -111.0959575 33.639021, -111.0960167 33.6389879, -111.096135 33.6389659, -111.0961941 33.638933, -111.096227 33.6389164, -111.0962468 33.6389329, -111.0962795 33.6389384, -111.0962862 33.6389769, -111.0963519 33.6390319, -111.0963782 33.6390649, -111.0963849 33.6391144, -111.0963848 33.6391638, -111.0963651 33.6392133, -111.0963191 33.6392573, -111.0962863 33.6392738))"
,28,68704406,water,,1.2745893499861505e-07,POINT (-111.012165 33.6875776),"POLYGON ((-111.0119581 33.6876314, -111.0119712 33.6875325, -111.0120108 33.6874555, -111.0120963 33.687406, -111.0121752 33.6873786, -111.0122411 33.6873786, -111.0122804 33.6873841, -111.0123134 33.6874061, -111.0123593 33.6874776, -111.0123593 33.6875381, -111.0123592 33.6876206, -111.0123132 33.687692, -111.0122605 33.687747, -111.0121881 33.68778, -111.0120895 33.6877745, -111.0120107 33.6877359, -111.0119777 33.6876754, -111.0119581 33.6876314))"
,29,68704445,water,,4.086434499976508e-08,POINT (-111.0902891 33.7373358),"POLYGON ((-111.0903452 33.7372283, -111.0903622 33.737233, -111.0903951 33.737266, -111.0904083 33.73731, -111.0904083 33.7373484, -111.0903754 33.7374035, -111.0903293 33.7374199, -111.0902438 33.7374585, -111.0901912 33.7374309, -111.0901714 33.737376, -111.0901911 33.7372935, -111.0902438 33.737233, -111.0903228 33.737222, -111.0903452 33.7372283))"
